"RocketName","freq","counter","state","gps_latitude","gps_longitude","altitude","apogee","voltageMon","last_ack","last_nack","RSSI","SNR","PacketLength"
"<1>",920.4,28,"IDLE_SAFE",15.036158,100.912699,129.6006,19.2152,0,15,3,-117,-14.5,73
"<1>",920.4,31,"IDLE_SAFE",15.036158,100.912699,129.6747,19.2152,0,15,3,-105,-0.25,73
"<1>",920.4,33,"IDLE_SAFE",15.036158,100.912699,129.415,19.2152,0,15,3,-114,-7.75,73
"<1>",920.4,34,"IDLE_SAFE",15.036158,100.912699,129.3229,19.2152,"0.0@","A5",3,-115,-8.25,73
"<1>",920.4,35,"IDLE_SAFE",15.036158,100.912699,129.3008,19.2152,0,15,3,-100,3.75,73
"<1>",920.4,36,"IDLE_SAFE",15.036158,100.912699,128.9573,19.2152,0,15,3,-99,2.5,73
"<1>",920.4,37,"IDLE_SAFE",15.036158,100.912699,129.4746,19.2152,0,15,3,-122,-14.5,73
"<1>",920.4,38,"IDLE_SAFE",15.036158,100.912699,129.5461,19.2152,0,15,3,-120,-12.5,73
"<1>",920.4,39,"IDLE_SAFE",15.036158,100.912699,129.6453,19.2152,0,15,3,-118,-11.5,73
"<1>",920.4,44,"IDLE_SAFE",15.036158,100.912699,129.5245,19.2152,0,15,3,-103,2,73
"<1>",920.4,45,"IDLE_SAFE",15.036158,100.912699,130.2326,19.2152,0,15,3,-97,2,73
"<1>",920.4,46,"IDLE_SAFE",15.036158,100.912699,130.0614,19.2152,0,15,3,-103,2,73
"<1>",920.4,48,"IDLE_SAFE",15.036158,100.912699,130.2974,19.2152,0,15,3,-105,0,73
"<1>",920.4,49,"IDLE_SAFE",15.036158,100.912699,130.0958,19.2152,0,15,3,-88,6.75,73
"<1>",920.4,50,"IDLE_SAFE",15.036158,100.912699,130.1709,19.2152,0,15,3,-96,4.75,73
"<1>",920.4,51,"IDLE_SAFE",15.036158,100.912699,130.173,19.2152,0,15,3,-95,5.25,73
"<1>",920.4,52,"IDLE_SAFE",15.036158,100.912699,130.0732,19.2152,0,15,3,-90,6.75,73
"<1>",920.4,53,"IDLE_SAFE",15.036158,100.912699,129.9719,19.2152,0,15,3,-91,7,73
"<1>",920.4,54,"IDLE_SAFE",15.036158,100.912699,130.101,19.2152,0,15,3,-95,5.25,73
"<1>",920.4,55,"IDLE_SAFE",15.036158,100.912699,129.6428,19.2152,0,15,3,-102,2,73
"<1>",920.4,57,"IDLE_SAFE",15.036158,100.912699,130.1035,19.2152,0,15,3,-99,3.25,73
