indice,TimeStamp,RocketName,freq,counter,state,gps_latitude,gps_longitude,altitude,apogee,voltageMon,last_ack,last_nack,RSSI,SNR,PacketLength
1,14:28:13,<2>,921,134,IDLE_SAFE,15.036231,100.912301,127.367,9.2219,0,3,0,-109,-1.5,72
2,14:28:15,<2>,921,135,IDLE_SAFE,15.036231,100.912301,127.2472,9.2219,0,3,0,-110,-2,72
3,14:28:17,<2>,921,136,IDLE_SAFE,15.036231,100.912301,127.1552,9.2219,0,3,0,-102,3,72
4,14:28:19,<2>,921,137,IDLE_SAFE,15.036231,100.912301,127.2241,9.2219,0,3,0,-106,1,72
5,14:29:27,<2>,921,171,IDLE_SAFE,15.036231,100.912301,127.4513,9.2219,0,3,0,-110,-2,72
6,14:33:01,<2>,921,22,IDLE_SAFE,15.036215,100.912339,127.9639,9.2219,0,3,0,-110,-2,71
7,14:33:03,<2>,921,23,IDLE_SAFE,15.036215,100.912339,127.9716,9.2219,0,3,0,-111,-2.25,71
8,14:33:05,<2>,921,24,IDLE_SAFE,15.036215,100.912339,127.9094,9.2219,0,3,0,-110,-2.75,71
9,14:40:35,<2>,921,249,IDLE_SAFE,15.036214,100.912368,125.3709,9.2219,0,3,0,-50,4,72
10,14:40:37,<2>,921,250,IDLE_SAFE,15.036214,100.912368,125.706,9.2219,0,3,0,-50,7.5,72
11,14:40:39,<2>,921,251,IDLE_SAFE,15.036214,100.912368,125.3524,9.2219,0,3,0,-52,7.25,72
12,14:40:41,<2>,921,252,IDLE_SAFE,15.036214,100.912368,125.2609,9.2219,0,3,0,-61,6.75,72
13,14:40:43,<2>,921,253,IDLE_SAFE,15.036214,100.912368,125.6325,9.2219,0,3,0,-56,7.75,72
14,14:40:45,<2>,921,254,IDLE_SAFE,15.036214,100.912368,125.3077,9.2219,0,3,0,-58,5.5,72
15,14:40:47,<2>,921,255,IDLE_SAFE,15.036214,100.912368,125.3035,9.2219,0,3,0,-61,5.25,72
16,14:40:49,<2>,921,0,IDLE_SAFE,15.036214,100.912368,125.4732,9.2219,0,3,0,-64,8,70
17,14:40:51,<2>,921,1,IDLE_SAFE,15.036214,100.912368,125.6413,9.2219,0,3,0,-57,7.25,70
18,14:40:53,<2>,921,2,IDLE_SAFE,15.036214,100.912368,125.4038,9.2219,0,3,0,-57,7,70
19,14:40:55,<2>,921,3,IDLE_SAFE,15.036214,100.912368,125.6037,9.2219,0,3,0,-66,7.25,70
20,14:40:57,<2>,921,4,IDLE_SAFE,15.036214,100.912368,125.5667,9.2219,0,3,0,-64,2.75,70
21,14:40:59,<2>,921,5,IDLE_SAFE,15.036214,100.912368,125.5169,9.2219,0,3,0,-63,3.25,70
22,14:41:01,<2>,921,6,IDLE_SAFE,15.036214,100.912368,125.1406,9.2219,0,3,0,-62,3.25,70
23,14:41:03,<2>,921,7,IDLE_SAFE,15.036214,100.912368,125.4449,9.2219,0,3,0,-57,6.75,70
24,14:41:05,<2>,921,8,IDLE_SAFE,15.036214,100.912368,125.4377,9.2219,0,3,0,-58,7.25,70
25,14:41:07,<2>,921,9,IDLE_SAFE,15.036214,100.912368,125.4048,9.2219,0,3,0,-57,7,70
26,14:41:09,<2>,921,10,IDLE_SAFE,15.036214,100.912368,125.5904,9.2219,0,3,0,-59,7.25,71
27,14:41:11,<2>,921,11,IDLE_SAFE,15.036214,100.912368,125.3097,9.2219,0,3,0,-58,3.5,71
28,14:41:13,<2>,921,12,IDLE_SAFE,15.036214,100.912368,125.4218,9.2219,0,3,0,-66,6.5,71
29,14:41:15,<2>,921,13,IDLE_SAFE,15.036214,100.912368,125.4917,9.2219,0,3,0,-62,5.25,71
30,14:41:17,<2>,921,14,IDLE_SAFE,15.036214,100.912368,125.4326,9.2219,0,3,0,-53,7.5,71
31,14:41:19,<2>,921,15,IDLE_SAFE,15.036214,100.912368,125.3668,9.2219,0,3,0,-56,6,71
32,14:41:21,<2>,921,16,IDLE_SAFE,15.036214,100.912368,125.4398,9.2219,0,3,0,-52,6.75,71
33,14:41:23,<2>,921,17,IDLE_SAFE,15.036214,100.912368,125.4495,9.2219,0,3,0,-55,6.5,71
34,14:41:25,<2>,921,18,IDLE_SAFE,15.036214,100.912368,125.6063,9.2219,0,3,0,-56,4.75,71
35,14:41:27,<2>,921,19,IDLE_SAFE,15.036214,100.912368,125.3945,9.2219,0,3,0,-54,7,71
36,14:41:29,<2>,921,20,IDLE_SAFE,15.036214,100.912368,125.5251,9.2219,0,3,0,-54,6.75,71
37,14:41:31,<2>,921,21,IDLE_SAFE,15.036214,100.912368,125.2614,9.2219,0,3,0,-58,6.75,71
38,14:41:33,<2>,921,22,IDLE_SAFE,15.036214,100.912368,125.3292,9.2219,0,3,0,-56,6.5,71
39,14:41:35,<2>,921,23,IDLE_SAFE,15.036214,100.912368,125.6839,9.2219,0,3,0,-62,5.75,71
40,14:41:37,<2>,921,24,IDLE_SAFE,15.036214,100.912368,125.3693,9.2219,0,3,0,-55,6.25,71
41,14:41:39,<2>,921,25,IDLE_SAFE,15.036214,100.912368,125.3406,9.2219,0,3,0,-52,6.25,71
42,14:41:41,<2>,921,26,IDLE_SAFE,15.036214,100.912368,125.4454,9.2219,0,3,0,-54,6.5,71
43,14:41:43,<2>,921,27,IDLE_SAFE,15.036214,100.912368,125.5729,9.2219,0,3,0,-57,5.5,71
44,14:41:45,<2>,921,28,IDLE_SAFE,15.036214,100.912368,125.6603,9.2219,0,3,0,-53,6,71
45,14:41:47,<2>,921,29,IDLE_SAFE,15.036214,100.912368,125.8813,9.2219,0,3,0,-60,6.75,71
46,14:41:49,<2>,921,30,IDLE_SAFE,15.036214,100.912368,125.6222,9.2219,0,3,0,-70,5.75,71
47,14:41:51,<2>,921,31,IDLE_SAFE,15.036214,100.912368,125.7271,9.2219,0,3,0,-61,6.5,71
48,14:41:53,<2>,921,32,IDLE_SAFE,15.036214,100.912368,125.5153,9.2219,0,3,0,-57,6.75,71
49,14:41:55,<2>,921,33,IDLE_SAFE,15.036214,100.912368,125.4125,9.2219,0,3,0,-57,6.5,71
50,14:41:57,<2>,921,34,IDLE_SAFE,15.036214,100.912368,125.4747,9.2219,0,3,0,-75,7,71
51,14:41:59,<2>,921,35,IDLE_SAFE,15.036214,100.912368,125.5035,9.2219,0,3,0,-65,7,71
52,14:42:01,<2>,921,36,IDLE_SAFE,15.036214,100.912368,125.7317,9.2219,0,3,0,-61,6.25,71
53,14:42:03,<2>,921,37,IDLE_SAFE,15.036214,100.912368,125.3452,9.2219,0,3,0,-70,6.5,71
54,14:42:05,<2>,921,38,IDLE_SAFE,15.036214,100.912368,125.4871,9.2219,0,3,0,-55,7.5,71
55,14:42:07,<2>,921,39,IDLE_SAFE,15.036214,100.912368,125.706,9.2219,0,3,0,-69,6.5,71
56,14:42:09,<2>,921,40,IDLE_SAFE,15.036214,100.912368,125.7821,9.2219,0,3,0,-64,7.25,71
57,14:42:11,<2>,921,41,IDLE_SAFE,15.036214,100.912368,125.8011,9.2219,0,3,0,-71,7,71
58,14:42:13,<2>,921,42,IDLE_SAFE,15.036214,100.912368,126.0201,9.2219,0,3,0,-64,6.75,71
59,14:42:15,<2>,921,43,IDLE_SAFE,15.036214,100.912368,125.8104,9.2219,0,3,0,-75,2.25,71
60,14:42:17,<2>,921,44,IDLE_SAFE,15.036214,100.912368,125.9708,9.2219,0,3,0,-79,4,71
61,14:42:19,<2>,921,45,IDLE_SAFE,15.036214,100.912368,125.559,9.2219,0,3,0,-83,7,71
62,14:42:21,<2>,921,46,IDLE_SAFE,15.036214,100.912368,125.1745,9.2219,0,3,0,-106,2,71
63,14:42:23,<2>,921,47,IDLE_SAFE,15.036214,100.912368,124.7469,9.2219,0,3,0,-79,6.5,71
64,14:42:25,<2>,921,48,IDLE_SAFE,15.036214,100.912368,124.4585,9.2219,0,3,0,-94,6.25,71
65,14:42:27,<2>,921,49,IDLE_SAFE,15.036214,100.912368,124.4061,9.2219,0,3,0,-84,6.75,71
66,14:42:29,<2>,921,50,IDLE_SAFE,15.036214,100.912368,124.1101,9.2219,0,3,0,-85,5.75,71
67,14:42:31,<2>,921,51,IDLE_SAFE,15.036214,100.912368,123.8942,9.2219,0,3,0,-85,6,71
68,14:42:33,<2>,921,52,IDLE_SAFE,15.036214,100.912368,123.4378,9.2219,0,3,0,-91,6.25,71
69,14:42:35,<2>,921,53,IDLE_SAFE,15.036214,100.912368,123.4337,9.2219,0,3,0,-98,5.25,71
70,14:42:37,<2>,921,54,IDLE_SAFE,15.036214,100.912368,123.1274,9.2219,0,3,0,-94,5,71
71,14:42:39,<2>,921,55,IDLE_SAFE,15.036214,100.912368,122.8134,9.2219,0,3,0,-105,3,71
72,14:42:41,<2>,921,56,IDLE_SAFE,15.036214,100.912368,122.9208,9.2219,0,3,0,-94,6,71
73,14:42:43,<2>,921,57,IDLE_SAFE,15.036214,100.912368,122.7168,9.2219,0,3,0,-103,3.5,71
74,14:42:45,<2>,921,58,IDLE_SAFE,15.036214,100.912368,122.392,9.2219,0,3,0,-99,5,71
75,14:42:47,<2>,921,59,IDLE_SAFE,15.036214,100.912368,122.355,9.2219,0,3,0,-96,6.25,71
76,14:42:49,<2>,921,60,IDLE_SAFE,15.036214,100.912368,122.2595,9.2219,0,3,0,-98,5.25,71
77,14:42:51,<2>,921,61,IDLE_SAFE,15.036214,100.912368,121.9347,9.2219,0,3,0,-101,4.25,71
78,14:42:53,<2>,921,62,IDLE_SAFE,15.036214,100.912368,121.6988,9.2219,0,3,0,-103,4,71
79,14:42:55,<2>,921,63,IDLE_SAFE,15.036214,100.912368,121.7353,9.2219,0,3,0,-104,3.5,71
80,14:42:57,<2>,921,64,IDLE_SAFE,15.036214,100.912368,121.5565,9.2219,0,3,0,-107,0,71
81,14:42:59,<2>,921,65,IDLE_SAFE,15.036214,100.912368,121.1501,9.2219,0,3,0,-104,3,71
82,14:43:01,<2>,921,66,IDLE_SAFE,15.036214,100.912368,121.1449,9.2219,0,3,0,-105,2,71
83,14:43:03,<2>,921,67,IDLE_SAFE,15.036214,100.912368,120.5597,9.2219,0,3,0,-110,-0.5,71
84,14:43:05,<2>,921,68,IDLE_SAFE,15.036214,100.912368,120.6173,9.2219,0,3,0,-107,1.5,71
85,14:43:07,<2>,921,69,IDLE_SAFE,15.036214,100.912368,120.6347,9.2219,0,3,0,-106,1.5,71
86,14:43:09,<2>,921,70,IDLE_SAFE,15.036214,100.912368,120.5155,9.2219,0,3,0,-108,0.5,71
87,14:43:11,<2>,921,71,IDLE_SAFE,15.036214,100.912368,120.4421,9.2219,0,3,0,-106,2.25,71
88,14:43:13,<2>,921,72,IDLE_SAFE,15.036214,100.912368,120.4143,9.2219,0,3,0,-108,0.25,71
89,14:43:15,<2>,921,73,IDLE_SAFE,15.036214,100.912368,120.0126,9.2219,0,3,0,-107,1.25,71
90,14:43:17,<2>,921,74,IDLE_SAFE,15.036214,100.912368,119.9191,9.2219,0,3,0,-109,0,71
91,14:43:19,<2>,921,75,IDLE_SAFE,15.036214,100.912368,120.0978,9.2219,0,3,"0",-110,-2.5,71
92,14:43:21,<2>,921,76,IDLE_SAFE,15.036214,100.912368,120.0937,9.2219,0,3,0,-110,-0.75,71
93,14:43:23,<2>,921,77,IDLE_SAFE,15.036214,100.912368,119.7295,9.2219,0,3,0,-109,0,71
94,14:43:25,<2>,921,78,IDLE_SAFE,15.036214,100.912368,119.7588,9.2219,0,3,0,-109,0.25,71
95,14:43:27,<2>,921,79,IDLE_SAFE,15.036214,100.912368,119.6452,9.2219,0,3,0,-108,1,71
96,14:43:29,<2>,921,80,IDLE_SAFE,15.036214,100.912368,119.3899,9.2219,0,3,0,-107,1.5,71
97,14:43:35,<2>,921,83,IDLE_SAFE,15.036214,100.912368,119.2476,9.2219,0,3,0,-114,-5.25,71
98,14:43:37,<2>,921,83,IDLE_SAFE,15.036214,100.912368,119.2476,9.2219,0,3,0,-114,-5.25,71
99,14:43:39,<2>,921,85,IDLE_SAFE,15.036214,100.912368,119.3735,9.2219,0,3,0,-109,0,71
100,14:43:41,<2>,921,86,IDLE_SAFE,15.036214,100.912368,119.3283,9.2219,0,3,0,-113,-4.25,71
101,14:43:43,<2>,921,87,IDLE_SAFE,15.036214,100.912368,119.6529,9.2219,0,3,0,-116,-6.25,71
102,14:43:45,<2>,921,88,IDLE_SAFE,15.0;6:10,100.912368,119.955,9.2219,0,3,0,-112,-2.75,71
103,14:43:47,<2>,921,88,IDLE_SAFE,15.0;6:10,100.912368,119.955,9.2219,0,3,0,-112,-2.75,71
104,14:43:49,<2>,921,90,IDLE_SAFE,15.036214,100.912368,119.4454,9.2219,0,3,0,-107,1.5,71
105,14:43:51,<2>,921,91,IDLE_SAFE,15.036214,100.912368,119.6144,9.2219,0,3,0,-118,-9.25,71
106,14:43:53,<2>,92ְIN,92,IDLE_SAFE,15.036214,100.912368,119.3509,9.2219,0,3,0,-117,-9.5,71
107,14:43:55,<2>,921,93,IDLE_SAFE,15.036214,100.912368,119.4824,9.2219,0,3,0,-117,-7.5,71
108,14:43:57,<2>,921,93,IDLE_SAFE,15.036214,100.912368,119.4824,9.2219,0,3,0,-117,-7.5,71
109,14:43:59,<2>,921,95,IDLE_SAFE,15.036214,100.912368,119.1952,9.2219,0,3,0,-112,-2.75,71
110,14:44:01,<2>,921,96,IDLE_SAFE,15.036214,100.912368,119.0853,9.2219,0,3,0,-116,-7,71
111,14:44:03,<2>,921,96,IDLE_SAFE,15.036214,100.912368,119.0853,9.2219,0,3,0,-116,-7,71
112,14:44:07,<2>,921,99,IDLE_SAFE,15.036214,100.912368,118.418,9.2219,0,3,0,-114,-4.75,71
113,14:44:09,<2>,921,100,IDLE_SAFE,15.036214,100.912368,118.7431,9.2219,0,3,0,-117,-7.5,72
114,14:44:11,<2>,921,101,IDLE_SAFE,15.036214,100.912368,118.6009,9.2219,0,3,0,-125,-16,72
115,14:44:13,<2>,921,102,IDLE_SAFE,15.036214,100.912368,118.3748,9.2219,0,3,0,-114,-5,72
116,14:44:15,<2>,921,103,IDLE_SAFE,15.036214,100.912368,118.2474,9.2219,0,3,0,-121,-11.75,72
117,14:44:19,<2>,921,105,IDLE_SAFE,15.036214,100.912368,118.5212,9.2219,0,3,0,-119,-9.5,72
118,14:44:21,<2>,921,105,IDLE_SAFE,15.036214,100.912368,118.5212,9.2219,0,3,0,-119,-9.5,72
119,14:44:23,<2>,921,107,IDLE_SAFE,15.036214,100.912368,118.3605,9.2219,0,3,0,-116,-6.75,72
120,14:44:25,<2>,921,108,IDLE_SAFE,15.036214,100.912368,118.6009,9.2219,0,3,0,-123,-13.25,72
121,14:44:27,<2>,921,109,IDLE_SAFE,15.036214,100.912368,118.7724,9.2219,0,3,0,-117,-7.5,72
122,14:44:29,<2>,921,110,IDLE_SAFE,15.036214,100.912368,118.7971,9.2219,0,3,0,-120,-10.25,72
123,14:44:31,<2>,921,111,IDLE_SAFE,15.036214,100.912368,118.6974,9.2219,0,3,0,-113,-4,72
124,14:44:33,<2>,921,112,IDLE_SAFE,15.036214,100.912368,118.6815,9.2219,0,3,0,-115,-6,72
125,14:44:35,<2>,921,113,IDLE_SAFE,15.036214,100.912368,118.6656,9.2219,0,3,0,-113,-3.75,72
126,14:44:37,<2>,921,114,IDLE_SAFE,15.036214,100.912368,118.7693,9.2219,0,3,0,-113,-3.5,72
127,14:44:39,<2>,921,115,IDLE_SAFE,15.036214,100.912368,118.9301,9.2219,0,3,0,-117,-8,72
128,14:44:41,<2>,921,116,IDLE_SAFE,15.036214,100.912368,118.6096,9.2219,0,3,0,-113,-3.5,72
129,14:44:43,<2>,921,117,IDLE_SAFE,15.036214,100.912368,118.6173,9.2219,0,3,0,-116,-7,72
130,14:44:45,<2>,921,118,IDLE_SAFE,15.036214,100.912368,118.5156,9.2219,0,3,0,-117,-7.75,72
131,14:44:47,<2>,921,119,IDLE_SAFE,15.036214,100.912368,118.3923,9.2219,0,3,0,-117,-7.5,72
132,14:44:49,<2>,921,120,IDLE_SAFE,15.036214,100.912368,118.4637,9.2219,0,3,0,-122,-12.5,72
133,14:44:51,<2>,921,121,IDLE_SAFE,15.036214,100.912368,118.6702,9.2219,0,3,0,-114,-4.75,72
134,14:44:53,<2>,921,122,IDLE_SAFE,15.036214,100.912368,118.3815,9.2219,0,3,0,-114,-5,72
135,14:44:55,<2>,921,123,IDLE_SAFE,15.036214,100.912368,118.4894,9.2219,0,3,0,-116,-7,72
136,14:44:57,<2>,921,124,IDLE_SAFE,15.036214,100.912368,118.5798,9.2219,0,3,0,-118,-9.25,72
137,14:44:59,<2>,921,125,IDLE_SAFE,15.036214,100.912368,118.7144,9.2219,0,3,0,-117,-7.5,72
138,14:45:01,<2>,921,125,IDLE_SAFE,15.036214,100.912368,118.7144,9.2219,0,3,0,-117,-7.5,72
139,14:45:03,<2>,921,127,IDLE_SAFE,15.036214,100.912368,118.4509,9.2219,0,3,0,-117,-7.75,72
140,14:45:05,<2>,921,128,IDLE_SAFE,15.036214,100.912368,118.4354,9.2219,0,3,0,-117,-8.25,72
141,14:45:07,<2>,921,129,IDLE_SAFE,15.036214,100.912368,118.2921,9.2219,0,3,0,-123,-14.5,72
142,14:45:11,<2>,921,131,IDLE_SAFE,15.036214,100.912368,118.5202,9.2219,0,3,0,-117,-7.75,72
143,14:45:13,<2>,921,132,IDLE_SAFE,15.036214,100.912368,818.5202,9.2219,0,3,0,-120,-10.25,72
144,14:45:15,<2>,921,133,IDLE_SAFE,15.036214,100.912368,119.0339,9.2219,0,3,0,-124,-15,72
145,14:45:17,<2>,921,134,IDLE_SAFE,15.036214,100.912368,119.1495,9.2219,0,3,0,-110,-1.5,72
146,14:45:23,<2>,921,137,IDLE_SAFE,15.036214,100.912368,119.4351,9.2219,0,3,0,-122,-13.75,72
147,14:45:25,<2>,921,138,IDLE_SAFE,15.036214,100.912368,119.0555,9.2219,0,3,0,-108,1,72
148,14:45:27,<2>,921,139,IDLE_SAFE,15.036214,100.912368,119.2178,9.2219,0,3,0,-105,3,72
149,14:45:29,<2>,921,140,IDLE_SAFE,15.036214,100.912368,119.0719,9.2219,0,3,0,-108,0.5,72
150,14:45:31,<2>,921,141,IDLE_SAFE,15.036214,100.912368,119.0118,9.2219,0,3,0,-108,0.25,72
151,14:45:33,<2>,921,142,IDLE_SAFE,15.036214,100.912368,119.0555,9.2219,0,3,0,-108,0.5,72
152,14:45:35,<2>,921,143,IDLE_SAFE,15.036214,100.912368,118.925,9.2219,0,3,0,-115,-5.5,72
153,14:45:39,<2>,921,145,IDLE_SAFE,15.036214,100.912368,118.9538,9.2219,0,3,0,-110,-1,72
154,14:45:41,<2>,921,146,IDLE_SAFE,15.036214,100.912368,118.8526,9.2219,0,3,0,-120,-11,72
155,14:45:47,<2>,921,149,IDLE_SAFE,15.036214,100.912368,118.8654,9.2219,0,3,0,-122,-12.75,72
156,14:45:49,<2>,921,150,IDLE_SAFE,15.036214,100.912368,118.8223,9.2219,0,3,0,-115,-6,72
157,14:45:51,<2>,921,151,IDLE_SAFE,15.036214,100.912368,118.8582,9.2219,0,3,0,-117,-8,72
158,14:45:53,<2>,921,152,IDLE_SAFE,15.036214,100.912368,118.9419,9.2219,0,3,0,-121,-11.5,72
159,14:45:55,<2>,921,152,IDLE_SAFE,15.036214,100.912368,118.9419,9.2219,0,3,0,-121,-11.5,72
160,14:45:57,<2>,921,154,IDLE_SAFE,15.036214,100.912368,119.3878,9.2219,0,3,0,-104,2.75,72
161,14:45:59,<2>,921,155,IDLE_SAFE,15.036214,100.912368,118.9933,9.2219,0,3,0,-106,1.75,72
162,14:46:01,<2>,921,156,IDLE_SAFE,15.036214,100.912368,119.1248,9.2219,0,3,0,-107,1.5,72
163,14:46:03,<2>,921,157,IDLE_SAFE,15.036214,100.912368,119.281,9.2219,0,3,0,-104,3.75,72
164,14:46:05,<2>,921,158,IDLE_SAFE,15.036214,100.912368,119.4151,9.2219,0,3,0,-106,0.75,72
165,14:46:07,<2>,921,159,IDLE_SAFE,15.036214,100.912368,118.7683,9.2219,0,3,0,-102,3.5,72
166,14:46:09,<2>,921,160,IDLE_SAFE,15.036214,100.912368,119.0498,9.2219,0,3,0,-104,3.5,72
167,14:46:11,<2>,921,161,IDLE_SAFE,15.036214,100.912368,118.8551,9.2219,0,3,0,-115,-5.5,72
168,14:46:13,<2>,921,162,IDLE_SAFE,15.036214,100.912368,119.0925,9.2219,0,3,0,-115,-6,72
169,14:46:15,<2>,921,163,IDLE_SAFE,15.036214,100.912368,118.9938,9.2219,0,3,0,-117,-7.25,72
170,14:46:17,<2>,921,164,IDLE_SAFE,15.036214,100.912368,119.0776,9.2219,0,3,0,-111,-1.75,72
171,14:46:19,<2>,921,165,IDLE_SAFE,15.036214,100.912368,119.2825,9.2219,0,3,0,-110,-1.25,72
172,14:46:21,<2>,921,166,IDLE_SAFE,15.036214,100.912368,119.0483,9.2219,0,3,0,-122,-13.25,72
173,14:46:23,<2>,921,167,IDLE_SAFE,15.036214,100.912368,119.1038,9.2219,0,3,0,-113,-4,72
174,14:46:25,<2>,921,168,IDLE_SAFE,15.036214,100.912368,119.2235,9.2219,0,3,0,-109,-0.5,72
175,14:46:27,<2>,921,169,IDLE_SAFE,15.036214,100.912368,119.1536,9.2219,0,3,0,-114,-5.25,72
176,14:46:29,<2>,921,170,IDLE_SAFE,15.036214,100.912368,118.9604,9.2219,0,3,0,-115,-5.75,72
